City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
486,Buala,SB,85.41,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
490,Chake Chake,TZ,76.59,overcast clouds,-5.2459,39.7666,Hotel Archipelago
492,Rodrigues Alves,BR,86.0,scattered clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
494,Mitu,CO,75.04,overcast clouds,1.1983,-70.1733,
501,Cruz,BR,77.16,broken clouds,-2.9178,-40.1717,Hotel Villaboibom
502,Fare,PF,81.97,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
504,Wiang Sa,TH,79.0,few clouds,8.6359,99.3666,ชำนาญอินน์
506,Gamba,GA,77.27,broken clouds,-2.65,10.0,
507,Coolum Beach,AU,77.0,clear sky,-26.5333,153.1,Palmer Coolum Resort
508,Nuevo Casas Grandes,MX,79.0,scattered clouds,30.4167,-107.9167,Hotel Villa Colonial
511,The Valley,AI,80.6,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
512,Ormara,PK,80.56,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
514,Sur,OM,82.42,clear sky,22.5667,59.5289,Sur Plaza Hotel
515,Itarema,BR,77.36,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
524,Marsh Harbour,BS,79.54,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
525,Atar,MR,82.11,broken clouds,20.5169,-13.0499,Oumou Elghoura
529,Bonthe,SL,81.95,broken clouds,7.5264,-12.505,Bonthe Holiday Village
536,Marco,US,81.0,clear sky,25.9726,-81.729,Marco Island Lakeside Inn
537,Navolato,MX,89.01,clear sky,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
538,West Point,US,75.2,clear sky,33.6076,-88.6503,Hampton Inn & Suites West Point
543,Champerico,GT,87.8,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
544,Abonnema,NG,80.46,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
553,Negombo,LK,78.8,moderate rain,7.2083,79.8358,Hotel Sunset Beach
554,Yaan,NG,82.27,overcast clouds,7.3833,8.5667,
560,Sumbe,AO,79.02,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
561,Manta,EC,78.8,scattered clouds,-0.95,-80.7333,Balandra Hotel
562,Pontes E Lacerda,BR,75.07,few clouds,-15.2261,-59.3353,Hotel Bressan
563,Arecibo,PR,81.0,few clouds,18.4724,-66.7157,Atlantic Sand Oasis
567,Natal,BR,80.6,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
568,Grand Gaube,MU,75.99,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
569,Kieta,PG,85.17,light rain,-6.2167,155.6333,Uruna Bay Retreat
571,Umm Lajj,SA,85.75,broken clouds,25.0213,37.2685,Moon light Furnished Units
576,Jacmel,HT,87.8,broken clouds,18.2342,-72.5347,Hotel Florita
578,Nisia Floresta,BR,80.6,few clouds,-6.0911,-35.2086,Rancho Crepusculo
581,Thinadhoo,MV,81.77,broken clouds,0.5333,72.9333,
584,Narasannapeta,IN,80.38,scattered clouds,18.4167,84.05,G.lingaraju home
589,Abnub,EG,82.4,clear sky,27.2696,31.1511,Romany Adly Gad
591,Pochutla,MX,86.0,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
602,Kahului,US,84.2,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
605,Bandarbeyla,SO,81.21,overcast clouds,9.4942,50.8122,JABIR HOTEL
608,Maceio,BR,77.0,clear sky,-9.6658,-35.7353,Poutur Pousada
611,Jati,PK,78.51,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
613,Belmonte,BR,77.0,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
614,Souillac,MU,77.0,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
615,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
618,Barentu,ER,83.05,clear sky,15.1139,37.5928,
620,Galle,LK,79.09,light rain,6.0367,80.217,Amangalla
625,Ahuimanu,US,82.99,light rain,21.4447,-157.8378,Paradise Bay Resort
632,Dhidhdhoo,MV,83.75,overcast clouds,6.8833,73.1,Dhidhoo beach
633,Kapoeta,SS,83.41,light rain,4.7717,33.5903,Eastgate Hotel
638,Kaduqli,SD,88.07,broken clouds,11.0167,29.7167,فندق الله جابو
651,Marawi,PH,79.0,overcast clouds,7.9986,124.2928,Derogongan Residence
652,San Antonio,US,84.2,scattered clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
656,Sorong,ID,80.76,overcast clouds,-0.8833,131.25,waigo splash hotel
660,Morondava,MG,77.14,broken clouds,-20.2833,44.2833,La Case Bambou
664,Tabou,CI,81.39,broken clouds,4.423,-7.3528,hotêl doufoulougou
666,Buchanan,LR,78.8,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
669,Edea,CM,77.0,few clouds,3.8,10.1333,Micotel Hotel
670,Kuala Terengganu,MY,77.0,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
672,Ewa Beach,US,82.99,few clouds,21.3156,-158.0072,Uncle Junior Robert
673,Quatre Cocos,MU,77.0,light rain,-20.2078,57.7625,Veranda Palmar Beach Hotel
678,Beira,MZ,77.0,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
679,Nanakuli,US,82.99,light rain,21.3906,-158.1547,Camp Pālehua
682,Oum Hadjer,TD,87.17,clear sky,13.2954,19.6966,
684,Bull Savanna,JM,77.88,clear sky,17.8868,-77.5902,Big Red's
689,Tainan,TW,75.2,scattered clouds,22.9908,120.2133,Tie Dao Hotel
692,Neiafu,TO,84.2,scattered clouds,-18.65,-173.9833,Mystic Sands
709,Lorengau,PG,83.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
710,Cordoba,AR,75.0,broken clouds,-31.4135,-64.1811,Hotel Sussex
711,Porto Velho,BR,77.0,light rain,-8.7619,-63.9039,Hotel Central
712,Yenagoa,NG,79.05,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
714,Camacari,BR,75.2,heavy intensity rain,-12.6975,-38.3242,Hotel Cambuci
715,Caborca,MX,90.0,broken clouds,30.5838,-111.101,Hotel Los Lagos
716,Domoni,KM,79.74,light rain,-12.2569,44.5319,Al Djadid
